"SessionId";"GameId";"Result"
43308.037674023;1;VICTORY
43308.037674023;2;VICTORY
43308.037674023;3;VICTORY
43308.037674023;4;VICTORY
43308.037674023;5;VICTORY
43308.037674023;6;VICTORY
43308.037674023;7;VICTORY
43308.037674023;8;VICTORY
43308.037674023;9;VICTORY
43308.037674023;10;VICTORY
43308.037674023;11;VICTORY
43308.037674023;12;VICTORY
43308.037674023;13;VICTORY
43308.037674023;14;VICTORY
43308.037674023;15;VICTORY
43308.037674023;16;VICTORY
43308.037674023;17;VICTORY
43308.037674023;18;VICTORY
43308.037674023;19;VICTORY
43308.037674023;20;VICTORY
