"GameId";"Name";"Event Type";"Instrument";"Value"
1;PL1;SPENT_TOKEN;GUITAR;-
1;PL1;SPENT_TOKEN;GUITAR;-
1;PL2;SPENT_TOKEN;GUITAR;-
1;PL2;SPENT_TOKEN;GUITAR;-
1;PL3;SPENT_TOKEN;GUITAR;-
1;PL3;SPENT_TOKEN;GUITAR;-
1;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
1;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;3
1;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;9
1;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL1;RECEIVED_MONEY;-;0
1;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL2;RECEIVED_MONEY;-;0
1;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL3;RECEIVED_MONEY;-;0
1;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;7
1;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;5
1;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;4
1;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL1;RECEIVED_MONEY;-;0
1;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL2;RECEIVED_MONEY;-;0
1;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL3;RECEIVED_MONEY;-;0
1;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
1;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;4
1;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;4
1;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL1;RECEIVED_MONEY;-;0
1;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL2;RECEIVED_MONEY;-;0
1;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
1;PL3;RECEIVED_MONEY;-;0
2;PL1;SPENT_TOKEN;GUITAR;-
2;PL1;SPENT_TOKEN;GUITAR;-
2;PL2;SPENT_TOKEN;GUITAR;-
2;PL2;SPENT_TOKEN;GUITAR;-
2;PL3;SPENT_TOKEN;GUITAR;-
2;PL3;SPENT_TOKEN;GUITAR;-
2;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;7
2;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;2
2;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;4
2;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
2;PL1;RECEIVED_MONEY;-;0
2;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
2;PL2;RECEIVED_MONEY;-;0
2;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
2;PL3;RECEIVED_MONEY;-;0
2;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;7
2;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;3
2;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;7
2;PL1;RECEIVED_MONEY;-;3000
2;PL2;RECEIVED_MONEY;-;3000
2;PL3;RECEIVED_MONEY;-;3000
2;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;3
2;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;4
2;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;8
2;PL1;RECEIVED_MONEY;-;3000
2;PL2;RECEIVED_MONEY;-;3000
2;PL3;RECEIVED_MONEY;-;3000
3;PL1;SPENT_TOKEN;GUITAR;-
3;PL1;SPENT_TOKEN;GUITAR;-
3;PL2;SPENT_TOKEN;GUITAR;-
3;PL2;SPENT_TOKEN;GUITAR;-
3;PL3;SPENT_TOKEN;GUITAR;-
3;PL3;SPENT_TOKEN;GUITAR;-
3;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;10
3;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;7
3;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;6
3;PL1;RECEIVED_MONEY;-;3000
3;PL2;RECEIVED_MONEY;-;3000
3;PL3;RECEIVED_MONEY;-;3000
3;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
3;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;4
3;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;5
3;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL1;RECEIVED_MONEY;-;0
3;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL2;RECEIVED_MONEY;-;0
3;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL3;RECEIVED_MONEY;-;0
3;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;7
3;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;6
3;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;7
3;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL1;RECEIVED_MONEY;-;0
3;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL2;RECEIVED_MONEY;-;0
3;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
3;PL3;RECEIVED_MONEY;-;0
4;PL1;SPENT_TOKEN;GUITAR;-
4;PL1;SPENT_TOKEN;GUITAR;-
4;PL2;SPENT_TOKEN;GUITAR;-
4;PL2;SPENT_TOKEN;GUITAR;-
4;PL3;SPENT_TOKEN;GUITAR;-
4;PL3;SPENT_TOKEN;GUITAR;-
4;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;4
4;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;7
4;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;5
4;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL1;RECEIVED_MONEY;-;0
4;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL2;RECEIVED_MONEY;-;0
4;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL3;RECEIVED_MONEY;-;0
4;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
4;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;5
4;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;4
4;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL1;RECEIVED_MONEY;-;0
4;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL2;RECEIVED_MONEY;-;0
4;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
4;PL3;RECEIVED_MONEY;-;0
4;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
4;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;8
4;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;6
4;PL1;RECEIVED_MONEY;-;3000
4;PL2;RECEIVED_MONEY;-;3000
4;PL3;RECEIVED_MONEY;-;3000
5;PL1;SPENT_TOKEN;GUITAR;-
5;PL1;SPENT_TOKEN;GUITAR;-
5;PL2;SPENT_TOKEN;GUITAR;-
5;PL2;SPENT_TOKEN;GUITAR;-
5;PL3;SPENT_TOKEN;GUITAR;-
5;PL3;SPENT_TOKEN;GUITAR;-
5;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;7
5;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;6
5;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;5
5;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL1;RECEIVED_MONEY;-;0
5;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL2;RECEIVED_MONEY;-;0
5;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL3;RECEIVED_MONEY;-;0
5;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
5;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;9
5;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;10
5;PL1;RECEIVED_MONEY;-;3000
5;PL2;RECEIVED_MONEY;-;3000
5;PL3;RECEIVED_MONEY;-;3000
5;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;3
5;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;7
5;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;7
5;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL1;RECEIVED_MONEY;-;0
5;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL2;RECEIVED_MONEY;-;0
5;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
5;PL3;RECEIVED_MONEY;-;0
6;PL1;SPENT_TOKEN;GUITAR;-
6;PL1;SPENT_TOKEN;GUITAR;-
6;PL2;SPENT_TOKEN;GUITAR;-
6;PL2;SPENT_TOKEN;GUITAR;-
6;PL3;SPENT_TOKEN;GUITAR;-
6;PL3;SPENT_TOKEN;GUITAR;-
6;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;6
6;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;8
6;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;8
6;PL1;RECEIVED_MONEY;-;3000
6;PL2;RECEIVED_MONEY;-;3000
6;PL3;RECEIVED_MONEY;-;3000
6;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;5
6;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;7
6;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;5
6;PL1;RECEIVED_MONEY;-;3000
6;PL2;RECEIVED_MONEY;-;3000
6;PL3;RECEIVED_MONEY;-;3000
6;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;5
6;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;6
6;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;7
6;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
6;PL1;RECEIVED_MONEY;-;0
6;PL2;INSTRUMENT_VALUE_CHANGED;MARKTING;0
6;PL2;RECEIVED_MONEY;-;0
6;PL3;INSTRUMENT_VALUE_CHANGED;MARKTING;0
6;PL3;RECEIVED_MONEY;-;0
7;PL1;SPENT_TOKEN;GUITAR;-
7;PL1;SPENT_TOKEN;GUITAR;-
7;PL2;SPENT_TOKEN;GUITAR;-
7;PL2;SPENT_TOKEN;GUITAR;-
7;PL3;SPENT_TOKEN;GUITAR;-
7;PL3;SPENT_TOKEN;GUITAR;-
7;PL1;INSTRUMENT_VALUE_CHANGED;GUITAR;8
7;PL2;INSTRUMENT_VALUE_CHANGED;GUITAR;9
7;PL3;INSTRUMENT_VALUE_CHANGED;GUITAR;8
7;PL1;INSTRUMENT_VALUE_CHANGED;MARKTING;0
